Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
02/03/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,100
04/29/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,1,400
02/28/2021,51091,Highland,Central Shenandoah,Local Health Departments,Moderna,1,100
12/21/2020,51187,Warren,Lord Fairfax,Hospitals,Moderna,1,500
02/26/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,1170
03/18/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,2,100
04/08/2021,51760,Richmond City,Richmond,Hospitals,Moderna,1,800
03/04/2021,51083,Halifax,Southside,Pharmacies,Moderna,2,200
04/18/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,1000
04/03/2021,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,400
04/22/2021,51111,Lunenburg,Piedmont,Pharmacies,Moderna,2,100
04/08/2021,51073,Gloucester,Three Rivers,Medical Practices,Moderna,1,100
04/22/2021,51790,Staunton,Central Shenandoah,Other Community Health Providers,Moderna,1,100
01/28/2021,51121,Montgomery,New River,Local Health Departments,Moderna,2,1500
03/08/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,400
03/30/2021,51683,Manassas City,Prince William,Hospitals,J&J,1,100
04/18/2021,51101,King William,Three Rivers,Medical Practices,Moderna,2,100
04/15/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,2,100
12/28/2020,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,500
02/25/2021,51640,Galax,Mount Rogers,Hospitals,Moderna,2,100
03/21/2021,51700,Newport News,Peninsula,Pharmacies,Moderna,1,400
03/28/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,1000
03/18/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,2,100
04/11/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,2,100
04/11/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,2500
02/04/2021,51081,Greensville,Crater,Other Community Health Providers,Moderna,2,400
02/26/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,2,1170
03/25/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,2,200
04/11/2021,51680,Lynchburg,Central Virginia,Medical Practices,Moderna,2,200
12/20/2020,51678,Lexington,Central Shenandoah,Hospitals,Moderna,1,2500
01/11/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,1500
03/18/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,2,1000
03/25/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,400
03/25/2021,51025,Brunswick,Southside,Medical Practices,Moderna,2,200
01/03/2021,51043,Clarke,Lord Fairfax,Local Health Departments,Moderna,1,200
03/25/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,2,500
02/13/2021,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,2,975
02/07/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,1,1500
04/04/2021,51760,Richmond City,Richmond,Hospitals,J&J,1,800
02/20/2021,51059,Fairfax,Fairfax,Medical Practices,Pfizer,2,1170
02/28/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,1,100
04/11/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,100
04/03/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,2,5850
04/15/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,2,200
04/11/2021,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,100
02/22/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,100
12/22/2020,51041,Chesterfield,Chesterfield,Hospitals,Moderna,1,1000
01/11/2021,51003,Albemarle,Blue Ridge,Hospitals,Moderna,2,2000
03/12/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,1,4680
01/18/2021,51025,Brunswick,Southside,Other Community Health Providers,Moderna,1,200
04/01/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,1,500
03/14/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,1,500
03/18/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,2,400
04/15/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,3200
02/26/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,2,1170
12/22/2020,51610,Falls Church,Fairfax,Medical Practices,Moderna,1,500
03/25/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,2500
01/10/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,1,500
03/25/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,500
04/09/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,2,2340
03/05/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
01/28/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,800
12/28/2020,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,100
12/30/2020,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,1950
02/20/2021,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,2,1170
03/14/2021,51067,Franklin County,West Piedmont,Medical Practices,Moderna,1,200
04/23/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,2,14040
02/20/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,2,2340
03/20/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Pfizer,2,1170
03/14/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,1200
04/11/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,500
04/29/2021,51075,Goochland,Chickahominy,Medical Practices,Moderna,1,100
04/15/2021,51650,Hampton,Hampton,Medical Practices,Moderna,2,100
04/11/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,2,200
04/03/2021,51047,Culpeper,Rappahannock Rapidan,Hospitals,Pfizer,2,1170
03/04/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,2800
01/24/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,100
01/11/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,300
01/24/2021,51087,Henrico,Henrico,Local Health Departments,Moderna,1,500
03/14/2021,51053,Dinwiddie,Crater,Pharmacies,Moderna,1,100
01/11/2021,51680,Lynchburg,Central Virginia,Hospitals,Moderna,2,2000
02/04/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,400
12/21/2020,51059,Fairfax,Fairfax,Medical Practices,Moderna,1,300
04/10/2021,51019,Bedford,Central Virginia,Medical Practices,Pfizer,2,1170
03/21/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,200
04/11/2021,51095,James City,Peninsula,Medical Practices,Moderna,1,100
02/20/2021,51760,Richmond City,Richmond,Pharmacies,Moderna,1,100
01/18/2021,51121,Montgomery,New River,Pharmacies,Moderna,1,400
03/13/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,2,2340
02/04/2021,51107,Loudoun,Loudoun,Hospitals,Moderna,2,100
03/28/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,1,500
03/25/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,2,100
01/11/2021,51197,Wythe,Mount Rogers,Hospitals,Moderna,2,1000
04/05/2021,51071,Giles,New River,Pharmacies,Moderna,1,300
03/04/2021,51083,Halifax,Southside,Other Community Health Providers,Moderna,2,300
04/05/2021,51840,Winchester,Lord Fairfax,Hospitals,Moderna,2,1000
03/21/2021,51011,Appomattox,Central Virginia,Pharmacies,Moderna,1,100
04/25/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,1,100
01/18/2021,51640,Galax,Mount Rogers,Hospitals,Moderna,1,200
04/09/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
02/26/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,8190
03/08/2021,51087,Henrico,Henrico,Other Community Health Providers,Moderna,1,500
04/29/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,2,500
03/15/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,2,2340
03/11/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,1170
01/20/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,2,1100
03/11/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,2,100
03/25/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,700
04/11/2021,51093,Isle of Wight,Western Tidewater,Pharmacies,Moderna,1,100
02/26/2021,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,2,1170
02/20/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,2,2340
02/20/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,2,400
02/27/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,2,1170
03/05/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,2340
03/22/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,8800
02/07/2021,51041,Chesterfield,Chesterfield,Hospitals,Moderna,2,300
04/02/2021,51173,Smyth,Mount Rogers,Local Health Departments,Pfizer,1,1170
02/04/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,2,500
02/26/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,17550
03/07/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,200
03/25/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,700
02/20/2021,51079,Greene,Blue Ridge,Pharmacies,Moderna,1,100
03/07/2021,51650,Hampton,Hampton,Pharmacies,Moderna,1,100
04/22/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,2,1000
03/18/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,2,800
04/11/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,100
04/01/2021,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,100
02/20/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,1,1170
02/04/2021,51059,Fairfax,Fairfax,Other Community Health Providers,Moderna,2,300
02/21/2021,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,1600
04/22/2021,51630,Fredericksburg,Rappahannock,Medical Practices,Moderna,2,100
03/11/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,100
03/25/2021,51167,Russell,Cumberland Plateau,Medical Practices,Moderna,2,200
03/20/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,47970
04/22/2021,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,2,100
04/05/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,1900
03/16/2021,51041,Chesterfield,Chesterfield,Pharmacies,J&J,1,200
04/15/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,2,200
04/11/2021,51035,Carroll,Mount Rogers,Medical Practices,Moderna,1,100
04/18/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,900
04/05/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,2,500
03/14/2021,51171,Shenandoah,Lord Fairfax,Pharmacies,Moderna,1,100
04/08/2021,51073,Gloucester,Three Rivers,Hospitals,Moderna,2,100
04/08/2021,51015,Augusta,Central Shenandoah,Hospitals,Moderna,2,1200
03/28/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,1,300
04/01/2021,51683,Manassas City,Prince William,Medical Practices,Moderna,2,100
03/23/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,2,200
01/10/2021,51121,Montgomery,New River,Local Health Departments,Moderna,1,2400
02/24/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,1,100
02/04/2021,51790,Staunton,Central Shenandoah,Other Community Health Providers,Moderna,2,300
04/18/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,1,100
04/05/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,900
03/18/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,2,200
03/07/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,900
02/28/2021,51670,Hopewell,Crater,Medical Practices,Moderna,1,200
03/07/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,300
04/01/2021,51173,Smyth,Mount Rogers,Medical Practices,Moderna,1,200
04/25/2021,51187,Warren,Lord Fairfax,Medical Practices,Moderna,1,100
01/24/2021,51095,James City,Peninsula,Pharmacies,Moderna,1,200
04/18/2021,51087,Henrico,Henrico,Medical Practices,Moderna,2,100
01/03/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,1,3000
03/18/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,1700
04/23/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,2,1170
02/25/2021,51191,Washington,Mount Rogers,Pharmacies,Moderna,2,100
04/01/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,1,200
03/11/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,300
03/18/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,2,100
04/05/2021,51700,Newport News,Peninsula,Hospitals,Moderna,2,1000
04/18/2021,51135,Nottoway,Piedmont,Pharmacies,Moderna,1,100
04/11/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
04/09/2021,51683,Manassas City,Prince William,Hospitals,Pfizer,1,3510
04/11/2021,51027,Buchanan,Cumberland Plateau,Medical Practices,Moderna,1,100
04/11/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,100
02/24/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,100
12/22/2020,51051,Dickenson,Cumberland Plateau,Hospitals,Moderna,1,1000
03/22/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,1,100
12/22/2020,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,200
03/28/2021,51117,Mecklenburg,Southside,Pharmacies,Moderna,1,100
02/24/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,1,100
03/11/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,2,100
04/15/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,1200
02/24/2021,51031,Campbell,Central Virginia,Pharmacies,Moderna,1,200
03/11/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,2,200
04/22/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,1100
03/28/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,1,100
04/17/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,3510
04/29/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,2,300
01/18/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,1,200
01/04/2021,51001,Accomack,Eastern Shore,Hospitals,Pfizer,1,975
03/14/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,1,100
03/30/2021,51630,Fredericksburg,Rappahannock,Hospitals,J&J,1,100
02/25/2021,51053,Dinwiddie,Crater,Hospitals,Moderna,2,100
03/22/2021,51073,Gloucester,Three Rivers,Medical Practices,Moderna,1,100
03/14/2021,51193,Westmoreland,Three Rivers,Medical Practices,Moderna,1,100
01/20/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,100
04/08/2021,51700,Newport News,Peninsula,Hospitals,Moderna,1,1500
03/04/2021,51570,Colonial Heights,Chesterfield,Pharmacies,Moderna,2,100
12/30/2020,51690,Martinsville,West Piedmont,Hospitals,Pfizer,1,975
03/14/2021,51167,Russell,Cumberland Plateau,Medical Practices,Moderna,1,200
02/25/2021,51135,Nottoway,Piedmont,Hospitals,Moderna,2,200
03/14/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
02/01/2021,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
03/11/2021,51173,Smyth,Mount Rogers,Pharmacies,Moderna,2,100
03/28/2021,51195,Wise,Lenowisco,Medical Practices,Moderna,1,200
04/11/2021,51770,Roanoke City,Roanoke,Medical Practices,Moderna,2,200
03/28/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,100
04/10/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,1170
04/15/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,2,600
02/25/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,2500
02/24/2021,51760,Richmond City,Richmond,Hospitals,Moderna,1,200
02/07/2021,51720,Norton,Lenowisco,Hospitals,Moderna,1,200
02/01/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,1,400
03/04/2021,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,100
01/04/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,1,975
12/14/2020,51700,Newport News,Peninsula,Hospitals,Pfizer,1,4875
03/04/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,2,100
02/04/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,600
02/20/2021,51081,Greensville,Crater,Other Community Health Providers,Moderna,1,200
03/22/2021,51107,Loudoun,Loudoun,Other Community Health Providers,Moderna,1,100
04/25/2021,51165,Rockingham,Central Shenandoah,Other Community Health Providers,Moderna,1,100
03/22/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,1,500
04/29/2021,51683,Manassas City,Prince William,Pharmacies,Moderna,2,100
02/28/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,2100
04/29/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,2,1200
04/29/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,2,200
04/02/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,2,1170
04/24/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,1170
03/07/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,1,200
04/08/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,2,300
01/24/2021,51083,Halifax,Southside,Other Community Health Providers,Moderna,1,200
02/25/2021,51550,Chesapeake,Chesapeake,Medical Practices,Pfizer,1,3510
03/28/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,200
04/22/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,2,300
04/16/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,2,14040
03/04/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,2,800
04/22/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,2,1600
02/27/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,2,2340
03/30/2021,51041,Chesterfield,Chesterfield,Local Health Departments,J&J,1,100
03/25/2021,51121,Montgomery,New River,Local Health Departments,Moderna,2,2300
04/25/2021,51036,Charles City,Chickahominy,Medical Practices,Moderna,1,100
03/04/2021,51730,Petersburg,Crater,Pharmacies,Moderna,2,200
04/15/2021,51740,Portsmouth,Portsmouth,Pharmacies,Moderna,2,100
02/21/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,100
03/08/2021,51115,Mathews,Three Rivers,Medical Practices,Moderna,1,100
12/22/2020,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,1,3000
03/07/2021,51678,Lexington,Central Shenandoah,Hospitals,Moderna,1,300
03/25/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,2,200
04/23/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,5850
02/04/2021,51770,Roanoke City,Roanoke,Medical Practices,Moderna,2,200
04/08/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,1000
03/21/2021,51145,Powhatan,Chesterfield,Medical Practices,Moderna,1,300
02/06/2021,51770,Roanoke City,Roanoke,Local Health Departments,Pfizer,1,975
02/06/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,2,975
03/07/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,200
03/22/2021,51087,Henrico,Henrico,Pharmacies,Moderna,1,100
01/28/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,2,100
04/11/2021,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,500
01/18/2021,51680,Lynchburg,Central Virginia,Pharmacies,Moderna,1,100
04/01/2021,51153,Prince William,Prince William,Pharmacies,Moderna,2,1500
04/29/2021,51790,Staunton,Central Shenandoah,Other Community Health Providers,J&J,1,100
02/25/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,3200
03/08/2021,51073,Gloucester,Three Rivers,Medical Practices,Moderna,1,400
03/28/2021,51169,Scott,Lenowisco,Local Health Departments,Moderna,1,200
02/20/2021,51089,Henry,West Piedmont,Medical Practices,Moderna,1,200
04/17/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,1,2340
04/24/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,1,7020
02/27/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,2,1170
12/22/2020,51199,York,Peninsula,Hospitals,Moderna,1,2000
01/20/2021,51700,Newport News,Peninsula,Local Health Departments,Moderna,2,500
02/06/2021,51730,Petersburg,Crater,Local Health Departments,Pfizer,1,975
02/20/2021,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,100
04/01/2021,51145,Powhatan,Chesterfield,Pharmacies,Moderna,2,200
04/15/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,2,200
12/21/2020,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,1,100
03/21/2021,51580,Covington,Alleghany,Local Health Departments,Moderna,2,200
03/18/2021,51185,Tazewell,Cumberland Plateau,Pharmacies,Moderna,2,100
04/25/2021,51710,Norfolk,Norfolk,Pharmacies,Moderna,1,600
01/18/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,1,1400
03/01/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Pfizer,2,2340
02/24/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,1,100
02/25/2021,51001,Accomack,Eastern Shore,Other Community Health Providers,Moderna,2,500
04/12/2021,51710,Norfolk,Norfolk,Local Health Departments,J&J,1,2000
02/08/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,300
04/25/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,1,200
02/01/2021,51069,Frederick,Lord Fairfax,Pharmacies,Moderna,1,100
02/07/2021,51107,Loudoun,Loudoun,Local Health Departments,Moderna,2,4000
03/22/2021,51630,Fredericksburg,Rappahannock,Pharmacies,Moderna,1,100
03/28/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,1800
04/08/2021,51770,Roanoke City,Roanoke,Hospitals,Moderna,1,200
04/23/2021,51047,Culpeper,Rappahannock Rapidan,Hospitals,Pfizer,1,1170
02/20/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1170
03/22/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,1,200
02/07/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,1700
02/21/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,1,100
02/28/2021,51107,Loudoun,Loudoun,Pharmacies,Moderna,1,300
03/07/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,1000
04/08/2021,51540,Charlottesville,Blue Ridge,Medical Practices,Moderna,1,100
04/02/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,2340
04/01/2021,51199,York,Peninsula,Medical Practices,Moderna,2,100
03/25/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,1700
01/10/2021,51660,Harrisonburg,Central Shenandoah,Local Health Departments,Moderna,1,100
04/09/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,1,5850
04/01/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,2,2000
04/25/2021,51161,Roanoke County,Alleghany,Pharmacies,Moderna,1,100
02/28/2021,51059,Fairfax,Fairfax,Other Community Health Providers,Moderna,1,600
04/11/2021,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,2,900
04/29/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,400
04/22/2021,51117,Mecklenburg,Southside,Hospitals,Moderna,2,300
02/26/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1170
01/18/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,1,19500
04/19/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,2,1200
03/08/2021,51101,King William,Three Rivers,Medical Practices,Moderna,1,100
03/25/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,2,300
01/24/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,3200
02/20/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Pfizer,2,1170
03/28/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,1,4300
03/07/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,1500
01/24/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,1,1200
03/08/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,1000
04/02/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,2,11700
04/15/2021,51161,Roanoke County,Alleghany,Hospitals,Moderna,1,100
02/09/2021,51730,Petersburg,Crater,Local Health Departments,Moderna,1,2700
04/01/2021,51670,Hopewell,Crater,Medical Practices,Moderna,1,100
04/22/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,2,500
03/04/2021,51019,Bedford,Central Virginia,Pharmacies,Moderna,2,200
02/25/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,2,300
04/18/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,400
04/15/2021,51103,Lancaster,Three Rivers,Pharmacies,Moderna,2,100
03/14/2021,51185,Tazewell,Cumberland Plateau,Medical Practices,Moderna,1,300
02/04/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,2,100
12/14/2020,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,1,975
12/28/2020,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,1,500
02/24/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,500
02/01/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,1,100
12/20/2020,51139,Page,Lord Fairfax,Hospitals,Moderna,1,300
01/11/2021,51710,Norfolk,Norfolk,Hospitals,Moderna,2,7700
02/20/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,1,200
04/02/2021,51600,Fairfax City,Fairfax,Local Health Departments,Pfizer,1,7020
02/24/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
04/01/2021,51167,Russell,Cumberland Plateau,Pharmacies,Moderna,2,100
03/15/2021,51800,Suffolk,Western Tidewater,Pharmacies,Pfizer,2,1170
04/18/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,1,300
02/20/2021,51155,Pulaski,New River,Medical Practices,Moderna,2,200
03/04/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,400
03/15/2021,51670,Hopewell,Crater,Medical Practices,Moderna,1,100
03/08/2021,51103,Lancaster,Three Rivers,Hospitals,Moderna,1,300
04/03/2021,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,1,5850
01/11/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,5600
04/29/2021,51087,Henrico,Henrico,Pharmacies,Moderna,2,600
03/27/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,7020
03/07/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,1,500
